id,name,type,status,key,comments
1,a mighty wind,,1,,"rec livvy
"
3,the graf spee,,1,,"https://thesession.org/tunes/581
"
5,the four quarts,,1,,"3 part
"
7,the bank of turf,jig,1,,
9,dark girl dressed in blue,,1,,"barn dance
"
323,newmarket polka,reel,1,D,
309,strike up the gay harp,reel,1,D,
15,the gold ring,,1,,
17,the dawn chorus,jig,1,,
19,munster buttermilk,,1,,"3 part session tune
"
139,the one that was lost,jig,2,,
23,hardimen't fancy,jig,1,,
25,the night we had the bears,,1,,"f#m/a
https://thesession.org/tunes/11770
"
27,mulqueens,jig,1,A,"brendan
pipes and fiddle album
"
29,ash plant,,1,,
31,seoban o’donnals,,1,,
33,paddy taylor’s jigs,,1,,
191,o’er the moor to maggie,,2,,
37,Black Pat’s,,1,,"from eric?
"
39,train to loch gray,,1,,"vincent brodrick
"
41,the rock on the clyde,jig,1,,"[link](https://comhaltas.ie/comhaltaslive/graeme
"
43,The Leverette,hornpipe,1,,"[link](https://comhaltas.ie/comhaltaslive/morien
"
45,the birds hornpipe,,1,,"[link](https://comhaltas.ie/comhaltaslive/darragh
"
47,come west along the road (recording),,1,,
49,all the way to galway,polka,1,,"vm
"
51,the gullane,polka,1,D,
53,patsy tallies rip the calico,,1,,
55,road to cashel,,1,,
57,Longford Tinker,,1,,
59,Thrush in the Storm,,1,,
61,[[The Blackbird,,1,,"Terry.m4a]]
"
63,bantry bay (on Beo album),,1,,
65,cavers of kirkudbright,jig,1,,"on caught off guard
"
67,before the storm,,1,,"liz carroll? on lost in the loop and caught of guard
"
69,hunter’s house [link](https://m.youtube.com/watch?v=y1WBk,,1,,"_nhok)
"
71,barn dances from eamonn coyne,,1,A,
73,john doherty’s,,1,D,
75,jackson’s,jIG,1,A,
77,crock of gold,reel,1,F,
79,dr o’neil,jig,1,,
81,dusty window sills,jig,1,A,
211,the monaghan,reel,1,A,
85,cottage in the grove,reel,1,E,
87,connie the soldier,jig,1,,
89,galway bay,reel,1,G,
91,the holes bush,reel,1,D,
93,give us a drink of water,,1,,"slip jog jimmy
"
95,kings of kerry,jig,1,,
97,mullen’s fancy,,1,,"kitty lie over last track
"
99,the rambling pitchfork,jig,1,,"kitty lie over
"
101,fox on the town,,1,,
103,o’dowd’s 7,,1,,
105,the holy land,,1,,
107,the swaggering,jig,1,C,
297,abbey reel,reel,1,Em,
113,3 mins lad o’bearne’s favourite,,2,D,
115,the dublin reel,,2,,"3 part d
"
117,the monaghan twig,reel,2,A,
119,sporting paddy,,2,,
121,cucanandy,hop jig,2,,
123,torn jacket,reel,2,D,
125,the milky way,reel,2,D,"vincent broderick
"
127,killarney boys of pleasure,,2,,
129,cordal jig,jig,2,,"namify

"
131,reel of rio,reel,2,,
133,the colliers,reel,2,D,
135,tripping up the stairs,,2,,
137,old man dylan,jig,2,A,
281,the banshee,reel,1,G,
143,john nee’s,,2,A,"dad tune
learned once [link](https://thesession.org/tunes/5994)
"
145,the shoemakers daughter,,2,A,
147,the foxhunters,reel,2,A,
149,paddy fahey’s,,2,D,
151,siobhan o’donnell’s,,2,A,
153,kilcooley’s wood,,2,,
